Cycle_ID,Total_Volume,Time_Span_Sec,Is_Flagged	
ACC_0100,611532.00,249,1	
ACC_0101,596149.00,249,1	
ACC_0102,537314.00,227,1	
ACC_0103,578080.00,233,1	
ACC_0104,624069.00,250,1	
ACC_0105,621866.00,247,1	
ACC_0106,655126.00,266,1	
ACC_0107,736840.00,283,1	
ACC_0108,652541.00,250,1	
ACC_0109,602314.00,239,1	
ACC_0110,703952.00,278,1	
ACC_0111,735269.00,284,1	
ACC_0112,579572.00,231,1	
ACC_0113,655132.00,265,1	
ACC_0114,628401.00,257,1	
ACC_0115,586258.00,231,1	
ACC_0116,604449.00,230,1	
ACC_0117,634539.00,246,1	
ACC_0118,597991.00,246,1	
ACC_0119,710009.00,279,1	
ACC_0120,627560.00,241,1	
ACC_0121,629951.00,247,1	
ACC_0122,609329.00,241,1	
ACC_0123,580082.00,245,1	
ACC_0124,651407.00,257,1	
ACC_0125,604549.00,241,1	
ACC_0126,655654.00,268,1	
ACC_0127,631622.00,249,1	
ACC_0128,698820.00,278,1	
ACC_0129,572124.00,234,1	
ACC_0130,598535.00,228,1	
ACC_0131,660755.00,256,1	
ACC_0132,677800.00,263,1	
ACC_0133,635329.00,250,1	
ACC_0134,671534.00,256,1	
ACC_0135,743579.00,278,1	
ACC_0136,645229.00,261,1	
ACC_0137,593916.00,257,1	
ACC_0138,713405.00,270,1	
ACC_0139,588871.00,236,1	
ACC_0140,625014.00,250,1	
ACC_0141,639039.00,251,1	
ACC_0142,633836.00,272,1	
ACC_0143,573054.00,239,1	
ACC_0144,714901.00,286,1	
ACC_0145,637189.00,268,1	
ACC_0146,661715.00,254,1	
ACC_0147,597840.00,238,1	
ACC_0148,637043.00,251,1	
ACC_0149,631974.00,241,1	
ACC_0150,559941.00,238,1	
ACC_0151,611535.00,236,1	
ACC_0152,589813.00,236,1	
ACC_0153,575478.00,241,1	
ACC_0154,615297.00,251,1	
ACC_0155,636314.00,246,1	
ACC_0156,708380.00,270,1	
ACC_0157,590613.00,227,1	
ACC_0158,613206.00,252,1	
ACC_0159,680587.00,248,1	
ACC_0160,566130.00,232,1	
ACC_0161,589125.00,224,1	
ACC_0162,634738.00,250,1	
ACC_0163,609314.00,256,1	
ACC_0164,611592.00,229,1	
ACC_0165,684796.00,268,1	
ACC_0166,618112.00,255,1	
ACC_0167,629385.00,255,1	
ACC_0168,601449.00,230,1	
ACC_0169,621925.00,235,1	
ACC_0170,648651.00,263,1	
ACC_0171,565643.00,233,1	
ACC_0172,669832.00,270,1	
ACC_0173,594962.00,247,1	
ACC_0174,643407.00,267,1	
ACC_0175,647708.00,260,1	
ACC_0176,722595.00,264,1	
ACC_0177,680128.00,276,1	
ACC_0178,557135.00,223,1	
ACC_0179,572686.00,225,1	
ACC_0180,601716.00,243,1	
ACC_0181,619947.00,238,1	
ACC_0182,627032.00,245,1	
ACC_0183,613635.00,244,1	
ACC_0184,568168.00,242,1	
ACC_0185,697061.00,271,1	
ACC_0186,578848.00,245,1	
ACC_0187,539867.00,221,1	
ACC_0188,693392.00,287,1	
ACC_0189,608096.00,247,1	
ACC_0190,629734.00,256,1	
ACC_0191,721490.00,278,1	
ACC_0192,683133.00,255,1	
ACC_0193,597008.00,242,1	
ACC_0194,580974.00,238,1	
ACC_0195,662990.00,262,1	
ACC_0196,606849.00,233,1	
ACC_0197,564527.00,239,1	
ACC_0198,598699.00,234,1	
ACC_0199,684914.00,262,1	
ACC_0200,626302.00,248,1	
ACC_0201,587258.00,237,1	
ACC_0202,747138.00,284,1	
ACC_0203,618676.00,238,1	
ACC_0204,619834.00,248,1	
ACC_0205,662808.00,254,1	
ACC_0206,528392.00,203,1	
ACC_0207,567718.00,228,1	
ACC_0208,654631.00,259,1	
ACC_0209,547138.00,236,1	
ACC_0210,673033.00,252,1	
ACC_0211,563741.00,227,1	
ACC_0212,580605.00,230,1	
ACC_0213,610233.00,256,1	
ACC_0214,684296.00,270,1	
ACC_0215,651532.00,252,1	
ACC_0216,636636.00,248,1	
ACC_0217,580817.00,229,1	
